Rank,Team,G,Attempts,Conversions,Conversion %
1,Oklahoma State,11,166,44,26.51
2,Boise State,7,107,29,27.1
3,Toledo,6,84,23,27.38
4,Oklahoma,11,154,43,27.92
5,Wisconsin,7,87,25,28.74
6,San Diego State,8,121,36,29.75
7,UAB,9,131,39,29.77
8,Northwestern,9,134,40,29.85
9,Northern Illinois,6,61,19,31.15
10,Clemson,12,173,54,31.21
11,Notre Dame,12,153,48,31.37
12,Buffalo,7,98,31,31.63
13,Colorado,6,85,27,31.76
14,Liberty,11,140,45,32.14
15,Tulsa,9,137,45,32.85
16,TCU,10,155,51,32.9
17,Iowa State,12,154,51,33.12
18,Ohio,3,44,15,34.09
19,Georgia Southern,13,178,61,34.27
20,Utah,5,67,23,34.33
21,Marshall,10,139,48,34.53
22,Cincinnati,10,150,52,34.67
23,Texas A&M,10,123,43,34.96
24,Texas,10,151,53,35.1
25,Pittsburgh,11,167,59,35.33
26,Nevada,9,135,48,35.56
27,Ball State,8,104,37,35.58
28,Georgia,10,140,50,35.71
29,Memphis,11,161,58,36.02
30,Wyoming,6,80,29,36.25
31,North Carolina State,12,183,67,36.61
32,Georgia State,10,138,51,36.96
33,Army,12,146,54,36.99
34,Penn State,9,127,47,37.01
35,Ohio State,8,105,39,37.14
36,East Carolina,9,121,45,37.19
37,LSU,10,126,47,37.3
38,Eastern Michigan,6,75,28,37.33
39,Indiana,8,112,42,37.5
40,Missouri,10,125,47,37.6
41,Appalachian State,12,172,65,37.79
42,Houston,8,116,44,37.93
43,North Carolina,12,166,63,37.95
44,Coastal Carolina,12,150,57,38
45,Navy,10,126,48,38.1
46,Troy,11,160,61,38.13
47,Miami (Florida),11,162,62,38.27
48,Michigan State,7,107,41,38.32
49,Rutgers,9,129,50,38.76
50,UTEP,8,95,37,38.95
51,San Jose State,8,120,47,39.17
52,BYU,12,171,67,39.18
53,Baylor,9,130,51,39.23
54,USC,6,79,31,39.24
55,West Virginia,10,140,55,39.29
56,Western Michigan,6,91,36,39.56
57,Louisville,11,148,59,39.86
58,Florida Atlantic,9,135,54,40
58,UTSA,12,165,66,40
58,Tulane,12,195,78,40
61,Kansas State,10,147,59,40.14
62,Minnesota,7,72,29,40.28
63,Colorado State,4,67,27,40.3
63,Iowa,8,134,54,40.3
65,Boston College,11,141,57,40.43
66,Nebraska,8,116,47,40.52
66,Virginia Tech,11,153,62,40.52
68,Florida International,5,74,30,40.54
69,California,4,54,22,40.74
70,Rice,5,66,27,40.91
71,Mississippi State,11,161,66,40.99
72,Florida,12,168,69,41.07
73,South Alabama,11,143,59,41.26
74,Duke,11,155,64,41.29
75,Oregon,7,116,48,41.38
76,Texas Tech,10,157,65,41.4
77,Alabama,13,200,83,41.5
78,Wake Forest,9,125,52,41.6
79,Maryland,5,84,35,41.67
79,Virginia,10,144,60,41.67
81,Arkansas State,11,163,68,41.72
82,Hawai'i,9,127,53,41.73
83,Kansas,9,122,51,41.8
84,Western Kentucky,12,183,77,42.08
85,Washington,4,52,22,42.31
86,Kentucky,11,141,60,42.55
87,New Mexico,7,89,38,42.7
88,Arizona,5,63,27,42.86
89,Illinois,8,100,43,43
90,UCF,10,146,63,43.15
91,SMU,10,152,66,43.42
92,Louisiana-Lafayette,11,170,74,43.53
93,Purdue,6,87,38,43.68
94,Kent State,4,48,21,43.75
95,Vanderbilt,9,98,43,43.88
96,Temple,7,91,40,43.96
97,Arizona State,4,69,31,44.93
98,Central Michigan,6,89,40,44.94
99,UCLA,7,107,49,45.79
100,Miami (Ohio),3,39,18,46.15
101,Michigan,6,93,43,46.24
102,Utah State,6,82,38,46.34
103,Charlotte,6,69,32,46.38
104,Florida State,9,114,53,46.49
105,Air Force,6,73,34,46.58
106,Oregon State,7,90,42,46.67
106,Mississippi,10,135,63,46.67
108,Georgia Tech,10,152,71,46.71
109,UNLV,6,77,36,46.75
110,Arkansas,10,158,74,46.84
111,North Texas,10,144,68,47.22
112,Syracuse,11,173,82,47.4
113,Louisiana Tech,10,141,67,47.52
114,Tennessee,10,147,70,47.62
115,Southern Mississippi,10,142,68,47.89
116,Washington State,4,52,25,48.08
117,South Carolina,10,126,61,48.41
118,Fresno State,6,97,47,48.45
119,Texas State,12,179,88,49.16
120,South Florida,9,142,71,50
121,Auburn,11,163,82,50.31
122,Stanford,6,76,39,51.32
123,Bowling Green,5,70,36,51.43
124,Massachusetts,4,54,28,51.85
125,Akron,6,73,39,53.42
126,Middle Tennessee,9,140,75,53.57
127,Louisiana-Monroe,10,142,81,57.04
