Rank,Team,G,Attempts,Conversions,Conversion %
1,Alabama,13,146,86,58.9
2,Kent State,4,57,32,56.14
3,Texas A&M,10,133,73,54.89
4,Coastal Carolina,12,149,78,52.35
5,Appalachian State,12,162,83,51.23
6,Florida,12,140,70,50
7,Notre Dame,12,165,82,49.7
8,Mississippi,10,141,70,49.65
9,BYU,12,132,65,49.24
10,Ohio State,8,106,52,49.06
11,UCF,10,160,78,48.75
12,Air Force,6,68,33,48.53
13,Liberty,11,147,71,48.3
14,Stanford,6,85,41,48.24
14,Toledo,6,85,41,48.24
16,Buffalo,7,81,39,48.15
16,Washington,4,54,26,48.15
18,Minnesota,7,86,41,47.67
19,Ball State,8,119,56,47.06
20,SMU,10,147,69,46.94
21,North Texas,10,150,70,46.67
21,Arizona State,4,45,21,46.67
23,Clemson,12,179,83,46.37
24,North Carolina,12,139,64,46.04
25,Georgia,10,135,62,45.93
26,Troy,11,164,75,45.73
27,Georgia State,10,165,75,45.45
27,Cincinnati,10,132,60,45.45
29,Iowa State,12,161,73,45.34
30,Marshall,10,128,58,45.31
31,Army,12,168,76,45.24
32,Auburn,11,158,71,44.94
33,Memphis,11,172,77,44.77
34,Louisville,11,143,64,44.76
35,UCLA,7,97,43,44.33
36,Boston College,11,147,65,44.22
37,North Carolina State,12,161,71,44.1
38,UTEP,8,109,48,44.04
39,USC,6,89,39,43.82
40,UTSA,12,179,78,43.58
41,Boise State,7,97,42,43.3
42,Western Michigan,6,67,29,43.28
43,Missouri,10,141,61,43.26
44,Oregon,7,74,32,43.24
45,Fresno State,6,88,38,43.18
46,New Mexico,7,107,46,42.99
47,Louisiana-Lafayette,11,138,59,42.75
48,Colorado,6,96,41,42.71
49,Middle Tennessee,9,129,55,42.64
50,UAB,9,130,55,42.31
51,Southern Mississippi,10,135,57,42.22
52,Oklahoma State,11,173,73,42.2
53,Penn State,9,133,56,42.11
54,Eastern Michigan,6,81,34,41.98
55,Tulsa,9,139,58,41.73
56,West Virginia,10,161,67,41.61
57,Nevada,9,118,49,41.53
58,Miami (Ohio),3,41,17,41.46
59,Georgia Tech,10,146,60,41.1
60,Oklahoma,11,135,55,40.74
61,Miami (Florida),11,160,65,40.63
61,Charlotte,6,96,39,40.63
63,Wake Forest,9,138,56,40.58
64,Georgia Southern,13,163,66,40.49
65,Oregon State,7,99,40,40.4
66,Houston,8,120,48,40
67,Arkansas State,11,173,69,39.88
68,Vanderbilt,9,138,55,39.86
69,South Alabama,11,167,66,39.52
70,Northwestern,9,150,59,39.33
71,Washington State,4,51,20,39.22
72,Hawai'i,9,138,54,39.13
73,Florida Atlantic,9,134,52,38.81
74,Duke,11,168,65,38.69
75,Louisiana Tech,10,156,60,38.46
76,Indiana,8,115,44,38.26
77,Rice,5,76,29,38.16
78,Virginia Tech,11,134,51,38.06
79,Illinois,8,113,43,38.05
80,Utah State,6,92,35,38.04
81,Wisconsin,7,100,38,38
82,Temple,7,116,44,37.93
83,Maryland,5,66,25,37.88
84,Utah,5,69,26,37.68
85,San Jose State,8,101,38,37.62
86,TCU,10,144,54,37.5
86,Purdue,6,80,30,37.5
86,Ohio,3,32,12,37.5
89,Texas,10,134,50,37.31
89,California,4,67,25,37.31
91,Virginia,10,143,53,37.06
92,UNLV,6,92,34,36.96
93,Texas Tech,10,149,55,36.91
94,San Diego State,8,120,44,36.67
95,Kentucky,11,142,52,36.62
96,Nebraska,8,104,38,36.54
97,South Carolina,10,137,50,36.5
98,Pittsburgh,11,173,63,36.42
99,Michigan,6,75,27,36
100,Florida International,5,78,28,35.9
101,Florida State,9,132,47,35.61
102,LSU,10,156,54,34.62
103,Rutgers,9,144,49,34.03
104,Tulane,12,150,51,34
105,Arkansas,10,136,46,33.82
106,Navy,10,139,47,33.81
107,Iowa,8,107,36,33.64
108,East Carolina,9,129,43,33.33
108,Akron,6,78,26,33.33
110,Texas State,12,151,50,33.11
111,Baylor,9,142,47,33.1
112,Kansas State,10,127,42,33.07
113,Arizona,5,79,26,32.91
114,Michigan State,7,113,37,32.74
115,Mississippi State,11,157,51,32.48
116,Western Kentucky,12,155,50,32.26
117,South Florida,9,124,38,30.65
118,Wyoming,6,89,27,30.34
119,Tennessee,10,129,39,30.23
120,Northern Illinois,6,91,26,28.57
121,Central Michigan,6,85,24,28.24
122,Bowling Green,5,65,17,26.15
123,Syracuse,11,153,40,26.14
124,Louisiana-Monroe,10,133,34,25.56
125,Massachusetts,4,55,14,25.45
126,Kansas,9,142,33,23.24
127,Colorado State,4,59,13,22.03
