Wk,Date,Rk,School,Prev,Chng,1st,Conf
17,Final,1,Ohio State (14-1),5,4,59,Big Ten (East)
17,Final,2,Oregon (13-2),3,1,,Pac-12 (North)
17,Final,3,Texas Christian (12-1),6,3,,Big 12
17,Final,4,Alabama (12-2),1,3,,SEC (West)
17,Final,5,Florida State (13-1),2,3,,ACC (Atlantic)
17,Final,5,Michigan State (11-2),7,2,,Big Ten (East)
17,Final,7,Baylor (11-2),4,3,,Big 12
17,Final,8,Georgia Tech (11-3),10,2,,ACC (Coastal)
17,Final,9,Georgia (10-3),13,4,,SEC (East)
17,Final,10,UCLA (10-3),14,4,,Pac-12 (South)
17,Final,11,Mississippi State (10-3),8,3,,SEC (West)
17,Final,12,Arizona State (10-3),15,3,,Pac-12 (South)
17,Final,13,Wisconsin (11-3),17,4,,Big Ten (West)
17,Final,14,Missouri (11-3),16,2,,SEC (East)
17,Final,15,Clemson (10-3),18,3,,ACC (Atlantic)
17,Final,16,Boise State (12-2),21,5,,MWC (Mountain)
17,Final,17,Ole Miss (9-4),9,8,,SEC (West)
17,Final,18,Kansas State (9-4),11,7,,Big 12
17,Final,19,Arizona (10-4),12,7,,Pac-12 (South)
17,Final,20,USC (9-4),24,4,,Pac-12 (South)
17,Final,21,Utah (9-4),23,2,,Pac-12 (South)
17,Final,22,Auburn (8-5),19,3,,SEC (West)
17,Final,23,Marshall (13-1),,,,CUSA (East)
17,Final,24,Louisville (9-4),20,4,,ACC (Atlantic)
17,Final,25,Memphis (10-3),,,,American
16,2014-12-07,1,Alabama (12-1),1,,27,SEC (West)
16,2014-12-07,2,Florida State (13-0),2,,25,ACC (Atlantic)
16,2014-12-07,3,Oregon (12-1),3,,8,Pac-12 (North)
16,2014-12-07,4,Baylor (11-1),5,1,,Big 12
16,2014-12-07,5,Ohio State (12-1),6,1,,Big Ten (East)
16,2014-12-07,6,Texas Christian (11-1),4,2,,Big 12
16,2014-12-07,7,Michigan State (10-2),7,,,Big Ten (East)
16,2014-12-07,8,Mississippi State (10-2),10,2,,SEC (West)
16,2014-12-07,9,Ole Miss (9-3),13,4,,SEC (West)
16,2014-12-07,10,Georgia Tech (10-3),12,2,,ACC (Coastal)
16,2014-12-07,11,Kansas State (9-3),9,2,,Big 12
16,2014-12-07,12,Arizona (10-3),8,4,,Pac-12 (South)
16,2014-12-07,13,Georgia (9-3),15,2,,SEC (East)
16,2014-12-07,14,UCLA (9-3),16,2,,Pac-12 (South)
16,2014-12-07,15,Arizona State (9-3),17,2,,Pac-12 (South)
16,2014-12-07,16,Missouri (10-3),14,2,,SEC (East)
16,2014-12-07,17,Wisconsin (10-3),11,6,,Big Ten (West)
16,2014-12-07,18,Clemson (9-3),19,1,,ACC (Atlantic)
16,2014-12-07,19,Auburn (8-4),20,1,,SEC (West)
16,2014-12-07,20,Louisville (9-3),21,1,,ACC (Atlantic)
16,2014-12-07,21,Boise State (11-2),22,1,,MWC (Mountain)
16,2014-12-07,22,LSU (8-4),23,1,,SEC (West)
16,2014-12-07,23,Utah (8-4),24,1,,Pac-12 (South)
16,2014-12-07,24,USC (8-4),,,,Pac-12 (South)
16,2014-12-07,25,Nebraska (9-3),25,,,Big Ten (West)
15,2014-11-30,1,Alabama (11-1),2,1,25,SEC (West)
15,2014-11-30,2,Florida State (12-0),1,1,29,ACC (Atlantic)
