Wk,Date,Rk,School,Prev,Chng,1st,Conf,Year
17,Final,1,Alabama (13-0),1,NA,61,SEC (West),2020
1,Preseason,1,Clemson,NA,—,38,ACC (Atlantic),2020
17,Final,1,Alabama (13-0),1,NA,61,SEC (West),2019
1,Preseason,1,Clemson,NA,—,38,ACC (Atlantic),2019
16,Final,1,Clemson (15-0),2,1,61,ACC (Atlantic),2018
1,Preseason,1,Alabama,NA,—,42,SEC (West),2018
16,Final,1,Alabama (13-1),4,3,57,SEC (West),2017
1,Preseason,1,Alabama,NA,—,52,SEC (West),2017
16,Final,1,Clemson (14-1),3,2,60,ACC (Atlantic),2016
1,Preseason,1,Alabama,NA,—,33,SEC (West),2016
15,Final,1,Alabama (14-1),2,1,61,SEC (West),2015
0,Preseason,1,Ohio State,NA,NA,61,Big Ten (East),2015
17,Final,1,Ohio State (14-1),5,4,59,Big Ten (East),2014
1,Preseason,1,Florida State,NA,—,57,ACC (Atlantic),2014
17,Final,1,Florida State (14-0),1,NA,60,ACC (Atlantic),2013
1,Preseason,1,Alabama,NA,—,58,SEC (West),2013
17,Final,1,Florida State (14-0),1,NA,60,ACC (Atlantic),2012
1,Preseason,1,Alabama,NA,—,58,SEC (West),2012
16,Final,1,Alabama (12-1),2,1,55,SEC (West),2011
1,Preseason,1,Oklahoma,NA,—,36,Big 12,2011
16,Final,1,Auburn (14-0),1,NA,56,SEC (West),2010
1,Preseason,1,Alabama,NA,—,54,SEC (West),2010
16,Final,1,Alabama,1,NA,60,SEC (West),2009
1,Preseason,1,Florida,NA,—,58,SEC (East),2009
17,Final,1,Florida,1,NA,48,SEC (East),2008
1,Preseason,1,Georgia,NA,—,22,SEC (East),2008
16,Final,1,LSU,2,1,60,SEC (West),2007
1,Preseason,1,USC,NA,—,62,Pac-10,2007
16,Final,1,Florida,2,1,64,SEC (East),2006
1,Preseason,1,Ohio State,NA,—,35,Big Ten,2006
16,Final,1,Texas,2,1,65,Big 12 (South),2005
1,Preseason,1,USC,NA,—,60,Pac-10,2005
16,Final,1,USC,1,NA,62,Pac-10,2004
1,Preseason,1,USC,NA,—,48,Pac-10,2004
17,Final,1,USC,1,NA,48,Pac-10,2003
1,Preseason,1,Oklahoma,NA,—,32,Big 12 (South),2003
18,Final,1,Ohio State,2,1,71,Big Ten,2002
1,Preseason,1,Miami (FL),NA,—,27,Big East,2002
17,Final,1,Miami (FL),1,NA,72,Big East,2001
1,Preseason,1,Florida,NA,—,20,SEC (East),2001
17,Final,1,Oklahoma,1,NA,71,Big 12 (South),2000
1,Preseason,1,Nebraska,NA,—,36,Big 12 (North),2000
17,Final,1,Florida State,1,NA,70,ACC,1999
1,Preseason,1,Florida State,NA,—,48,ACC,1999
16,Final,1,Tennessee,1,NA,70,SEC (East),1998
1,Preseason,1,Ohio State,NA,—,30,Big Ten,1998
18,Final,1,Michigan,1,NA,51,Big Ten,1997
1,Preseason,1,Penn State,NA,—,21,Big Ten,1997
18,Final,1,Florida,3,2,65,SEC (East),1996
1,Preseason,1,Nebraska,NA,—,50,Big 12 (North),1996
17,Final,1,Nebraska,1,NA,62,Big 8,1995
1,Preseason,1,Florida State,NA,—,31,ACC,1995
17,Final,1,Nebraska,1,NA,51,Big 8,1994
1,Preseason,1,Florida,NA,—,15,SEC (East),1994
17,Final,1,Florida State,1,NA,46,ACC,1993
1,Preseason,1,Florida State,NA,—,42,ACC,1993
17,Final,1,Alabama,2,1,62,SEC (West),1992
1,Preseason,1,Miami (FL),NA,—,40,Big East,1992
16,Final,1,Miami (FL),1,NA,32,Big East,1991
1,Preseason,1,Florida State,NA,—,49,Ind,1991
16,Final,1,Colorado,1,NA,39,Big 8,1990
1,Preseason,1,Miami (FL),NA,—,24,Ind,1990
